Key,Id,English(en),German(de),French(fr),Spanish(es),Chinese (Simplified)(zh-Hans),Russian(ru),Japanese(ja),Portuguese (Brazil)(pt-BR)
AnOldCoin_N,2.17283E+16,An Old Coin,Eine alte Münze,Une vieille pièce de monnaie,Una moneda antigua,一枚旧硬币,Старая монета,古いコイン,Uma moeda antiga
AnOldCoin_D,2.17284E+16,Paying a fare not for you.  For every {value} motes you have gain {statDamage}% bonus damage.,"Ein Fahrpreis, der nicht für Sie gilt.  Für jeden{value} motes haben Sie gewinnen{statDamage}% Bonusschaden.",Payer un tarif qui n'est pas pour vous.  Pour chaque{value} motes que vous avez gagnés{statDamage}% de dégâts supplémentaires.,Pagar una tarifa no es para ti.  Por cada{value} motes que has ganado{statDamage}% de daño extra.,支付不适合你的车费。  对于每一个{value}你所获得的摩特{statDamage}%的额外伤害。,"Оплата проезда не для вас.  Для каждого{value} мотивы, которые вы получаете{statDamage}% бонусного урона.",自分のためではない運賃を支払うこと。  すべての人のために{value}持論{statDamage}のボーナスダメージを与える。,Pagar uma tarifa não é para você.  Para cada{value} motes que você ganhou{statDamage}% de bônus de dano.
Feng_N,2.17566E+16,Feng,Feng,Feng,Feng,冯,Фэн,鳳凰,Feng
Feng_D,2.17567E+16,A lump of flesh that constantly regenerates. Heal {playerStats.currentHp} hit point at the end of a round.,"Ein Fleischklumpen, der sich ständig regeneriert. Heilen{playerStats.currentHp} Trefferpunkt am Ende einer Runde.",Un morceau de chair qui se régénère constamment. Guérir{playerStats.currentHp} point de vie à la fin d'un round.,Un trozo de carne que se regenera constantemente. Curar{playerStats.currentHp} punto de golpe al final de un asalto.,一块不断再生的肉体。痊愈{playerStats.currentHp}在一个回合结束时的命中点。,"Комок плоти, который постоянно регенерирует. Исцеление{playerStats.currentHp} хит-пойнт в конце раунда.",常に再生し続ける肉塊。治す{playerStats.currentHp}ラウンド終了時にヒットポイント,Um pedaço de carne que se regenera constantemente. Cura{playerStats.currentHp} ponto de vida no final de uma rodada.
AshenDew_N,2.18705E+16,Ashen Dew,Aschentau,Rosée cendrée,Rocío de ceniza,灰烬的露水,Пепельная роса,アシェン・デュー,Ashen Dew
AshenDew_D,2.18705E+16,Dew that falls from the World Tree.  On bounce {chance}% chance to spawn dew drop upon player hit replenish a cleanse.,"Tau, der vom Weltenbaum fällt.  Beim Aufprall{chance}Prozentuale Chance, Tautropfen zu spawnen, wenn ein Spieler getroffen wird, um eine Reinigung aufzufüllen.",La rosée qui tombe de l'arbre du monde.  Sur le rebond{chance}% de chances de faire apparaître une goutte de rosée lorsque le joueur touche un nettoyeur.,Rocío que cae del Árbol del Mundo.  De rebote{chance}Porcentaje de probabilidad de que aparezca una gota de rocío al golpear el jugador para reponer una limpieza.,从世界树上落下的露水。  关于弹跳{chance}在玩家击中补充清洁时，有%的机会产生露水滴。,"Роса, падающая с Мирового дерева.  При отскоке{chance}% шанс породить каплю росы при попадании игрока для восполнения очищения.",世界樹から降り注ぐ露。  オンバウンス{chance}プレイヤーのヒットで露が落ちる確率が%になり、浄化の補充ができる。,O orvalho que cai da Árvore do Mundo.  No salto{chance}% de chance de gerar gota de orvalho quando o jogador é atingido e reabastecer uma limpeza.
SuryasChakra_N,2.19207E+16,Surya's Chakra,Das Chakra von Surya,Chakra de Surya,Chakra de Surya,苏亚的脉轮,Чакра Сурьи,スーリヤのチャクラ,Chakra de Surya
SuryasChakra_D,2.19208E+16,The solar deity’s pure energy.  On juggle {chance}% chance to drop a chakra when picked cause an explosion at a random enemy which deals {damage.amount} damage.,"Die reine Energie der Sonnengöttin.  Beim Jonglieren{chance}Chance, ein Chakra fallen zu lassen, wenn man es aufhebt, um eine Explosion bei einem zufälligen Gegner zu verursachen, die{damage.amount} Schaden.","L'énergie pure de la divinité solaire.  Sur le jonglage{chance}% de chances de faire tomber un chakra lorsqu'il est cueilli, ce qui provoque une explosion sur un ennemi aléatoire qui inflige{damage.amount} dommages.",La energía pura de la deidad solar.  En malabares{chance}% de probabilidad de soltar un chakra al cogerlo causa una explosión en un enemigo aleatorio que inflige{damage.amount} daños.,太阳神的纯能量。  关于杂耍{chance}当被选中时有%的几率掉落一个查克拉，在一个随机的敌人身上引起爆炸，造成{damage.amount}损害。,"Чистая энергия солнечного божества.  На жонглировании{chance}% шанс выпадения чакры при подборе вызывает взрыв у случайного врага, который наносит{damage.amount} ущерб.",太陽神の純粋なエネルギー。  ジャグリングについて{chance}ランダムな敵に爆発を起こし、その際にチャクラを落とす確率が高い。{damage.amount}ダメージを与えることができます。,"A energia pura da divindade solar.  No malabarismo{chance}% de chance de liberar um chakra quando escolhido, causando uma explosão em um inimigo aleatório que causa{damage.amount} danos."
TritonsConchShell_N,2.19749E+16,Triton's Conch Shell,Tritons Muschelschale,La coquille de conque de Triton,Concha de Tritón,特雷顿的海螺壳,Ракушка Тритона,トリトンの法螺貝,Concha do Tritão
TritonsConchShell_D,2.1975E+16,Triton played to calm or raise the waves. On bounce {chance}% chance to apply a slight upwards force to all disks it hits.,"Triton spielte, um die Wellen zu beruhigen oder zu erhöhen. Aufprall{chance}% Chance, auf alle getroffenen Scheiben eine leichte Aufwärtskraft auszuüben.",Triton jouait à calmer ou à soulever les vagues. Sur le rebond{chance}% de chances d'appliquer une légère force ascendante à tous les disques qu'il touche.,Tritón tocaba para calmar o levantar las olas. Al rebotar{chance}% de probabilidad de aplicar una ligera fuerza hacia arriba a todos los discos que golpea.,特里顿发挥了平息或提高海浪的作用。关于弹跳{chance}有%的几率对其击中的所有磁盘施加一个轻微的向上的力。,"Тритон играл, чтобы успокоить или поднять волны. На отскоке{chance}% шанс применить небольшую восходящую силу ко всем дискам, в которые он попадает.",トリトンは波を静めたり、上げたりするために演奏しました。バウンスについて{chance}確率で、ヒットしたすべてのディスクに、わずかに上向きの力を加える。,Tritão jogado para acalmar ou levantar as ondas. No salto{chance}% de chance de aplicar uma leve força para cima em todos os discos atingidos.
DonarsBelt_N,2.22779E+16,Donar's Belt,Der Gürtel des Donar,Ceinture de Donar,Cinturón de Donar,多纳尔的腰带,Пояс Донара,ドーナーズベルト,Cinturão de Donar
DonarsBelt_D,2.2278E+16,A belt that grants thunder power.  Disk damage is increased by each disk hit by {playerStats.nimbusesDamageBoost} until a disk is lost.,"Ein Gürtel, der die Kraft des Donners verleiht.  Der Scheibenschaden wird mit jeder getroffenen Scheibe um{playerStats.nimbusesDamageBoost} bis ein Datenträger verloren geht.",Une ceinture qui confère le pouvoir du tonnerre.  Les dégâts des disques sont augmentés pour chaque disque touché par{playerStats.nimbusesDamageBoost} jusqu'à ce qu'un disque soit perdu.,Un cinturón que otorga poder de trueno.  El daño del disco aumenta por cada disco golpeado por{playerStats.nimbusesDamageBoost} hasta que se pierda un disco.,一条赋予雷霆之力的腰带。  盘子的伤害每被击中一次，就会增加{playerStats.nimbusesDamageBoost}直到一个磁盘丢失。,"Пояс, дающий силу грома.  Урон, наносимый дисками, увеличивается с каждым ударом диска на{playerStats.nimbusesDamageBoost} пока диск не будет потерян.",雷の力を付与するベルトです。  ディスクのダメージは、ディスクが当たるごとに増加し{playerStats.nimbusesDamageBoost}ディスクが無くなるまで,Um cinturão que concede o poder do trovão.  O dano do disco é aumentado a cada disco atingido por{playerStats.nimbusesDamageBoost} até que um disco seja perdido.
SmasherOfThousands_N,2.66832E+16,Smasher Of Thousands,Zertrümmerer von Tausenden,L'écrasement de milliers de personnes,Aplastador de miles,千人行的粉碎者,Разбиватель тысяч,スマッシャー オブ センチネル,Smasher Of Thousands (destruidor de milhares)
SmasherOfThousands_D,2.66832E+16," A hammer used  to defeat Asag, a monstrous demon."," Ein Hammer, mit dem Asag, ein monströser Dämon, besiegt wurde."," Un marteau utilisé pour vaincre Asag, un démon monstrueux."," Un martillo utilizado para derrotar a Asag, un demonio monstruoso.",一把用来打败阿萨格的锤子，一个畸形的恶魔。," Молот, использованный для победы над Асагом, чудовищным демоном.",怪力魔人アサグを倒すために使われたハンマー。," Um martelo usado para derrotar Asag, um demônio monstruoso."
AxeOfTheGiant_N,2.66986E+16,Axe Of The Giant,Die Axt des Giganten,Hache du géant,Hacha del gigante,巨人之斧,Топор великана,巨人の斧（Axe Of The Giant,Machado do gigante
AxeOfTheGiant_D,2.66987E+16,"An axe used to cleave the world into existance. A slow firing weapon which penetrates enemies, dealing {damage.amount} damage.","Eine Axt, mit der man die Welt in ihre Existenz spaltet. Eine langsam feuernde Waffe, die Feinde durchdringt und{damage.amount} Schaden.",Une hache utilisée pour fendre le monde en existence. Une arme à tir lent qui pénètre les ennemis et leur inflige des dégâts.{damage.amount} dommages.,"Un hacha utilizada para partir el mundo en dos. Un arma de disparo lento que penetra en los enemigos, infligiendo{damage.amount} daños.",一把用来劈开世界的斧头。缓慢发射的武器，可以穿透敌人，造成{damage.amount}损害。,"Топор, используемый для рассечения мира на части. Медленно стреляющее оружие, которое пробивает врагов, нанося{damage.amount} ущерб.",世界を薙ぎ払うために使用する斧。ゆっくりと発射される武器は、敵を貫通し、斧の弾丸のようなダメージを与える。{damage.amount}ダメージを与えることができます。,"Um machado usado para dividir o mundo em existência. Uma arma de disparo lento que penetra nos inimigos, causando{damage.amount} danos."
HalahalaPoison_N,4.65291E+16,Halahala Poison,Halahala-Gift,Halahala Poison,Veneno Halahala,哈拉哈拉毒药,Яд Халахалы,ハラハラポイズン,Veneno de Halahala
HalahalaPoison_D,4.65293E+16,A poison created from the sea when the gods and demons churned it to obtain Amrita.  On damage received loose all <color=#00e4ff>active disks</color>.,"Ein Gift, das aus dem Meer entstand, als die Götter und Dämonen es aufgewühlt haben, um Amrita zu gewinnen.  Bei Schaden verlieren alle <color=#00e4ff>aktiven Scheiben</color>.","Un poison créé à partir de la mer lorsque les dieux et les démons l'ont barattée pour obtenir l'Amrita.  Sur les dommages reçus, perdre tous les <color=#00e4ff>disques actifs</color>.","Veneno creado a partir del mar cuando los dioses y los demonios lo agitaron para obtener Amrita.  Al recibir daño, suelta todos los <color=#00e4ff>discos activos</color>.",当众神和恶魔为了获得阿姆瑞塔而搅动大海时，从海中产生的一种毒药。  在受到伤害时，松开所有<color=#00e4ff>活动磁盘</color>。,"Яд, созданный из моря, когда боги и демоны взбалтывали его, чтобы получить Амриту.  При получении урона ослабьте все <color=#00e4ff>активные диски</color>.",神々と悪魔がアムリタを得るために海をかき混ぜたときにできた毒である。  ダメージを受けると、すべての<color=#00e4ff>アクティブディスク</color>を開放する。,"Um veneno criado a partir do mar quando os deuses e demônios o agitaram para obter Amrita.  Ao receber dano, solte todos os <color=#00e4ff>discos ativos</color>."
TeaOfForgetfulness_N,4.65412E+16,Tea of Forgetfulness,Tee des Vergessens,Thé de l'oubli,Té del olvido,遗忘之茶,Чай забывчивости,忘却のお茶,Chá do esquecimento
TeaOfForgetfulness_D,4.65413E+16,Given to each lost soul this brew induces instant and permanent amnesia.  On  <color=#00e4ff>disk loss</color> lose 1 cleanse.,"Dieses Gebräu, das jeder verlorenen Seele verabreicht wird, bewirkt eine sofortige und dauerhafte Amnesie.  Bei <color=#00e4ff>Diskettenverlust</color> verliert man 1 Reinigung.",Ce breuvage est donné à chaque âme perdue et induit une amnésie instantanée et permanente.  En cas de <color=#00e4ff>perte de disque</color> perdre 1 nettoyage.,Dado a cada alma perdida este brebaje induce amnesia instantánea y permanente.  En <color=#00e4ff>pérdida de disco</color> pierde 1 limpieza.,给予每个失落的灵魂，这种药水会诱发即时和永久的失忆症。  在<color=#00e4ff>磁盘丢失时</color>失去1个清洁。,"Это варево, данное каждой потерянной душе, вызывает мгновенную и постоянную амнезию.  При <color=#00e4ff>потере диска</color> теряется 1 очищение.",失われた魂にこの酒を与えると、即座に永久記憶喪失になる。  <color=#00e4ff>ディスク喪失</color>の場合、浄化を1つ失う。,"Dada a cada alma perdida, essa poção induz à amnésia instantânea e permanente.  Na <color=#00e4ff>perda de disco</color>, perde-se 1 limpeza."
FruitOfAdonis_N,4.65468E+16,Fruit of Adonis,Die Frucht des Adonis,Le fruit d'Adonis,Fruto de Adonis,阿多尼斯之果,Плод Адониса,アドニスの果実,Fruto de Adônis
FruitOfAdonis_D,4.65468E+16,Fruit of the Dead.  On <color=#00e4ff>disk loss</color> reduce luck by {playerStats.luck} for {duration} seconds.,Fruit of the Dead.  Bei <color=#00e4ff>Festplattenverlust</color> das Glück um{playerStats.luck} für{duration} Sekunden.,Fruit of the Dead.  Sur <color=#00e4ff>la perte de disque</color> réduire la chance de{playerStats.luck} pour{duration} secondes.,Fruto de los muertos.  En <color=#00e4ff>pérdida de disco</color> reduce la suerte en{playerStats.luck} para{duration} segundos.,亡灵之果。  在<color=#00e4ff>磁盘丢失</color>时，将运气降低到{playerStats.luck}为{duration}秒。,Плод мертвых.  При <color=#00e4ff>потере диска</color> уменьшите удачу на{playerStats.luck} для{duration} секунды.,フルーツオブザデッド  オン<color=#00e4ff>ディスクロス</color>で運を下げる。{playerStats.luck}にとって{duration}の秒数です。,"Fruta dos Mortos.  Em <color=#00e4ff>perda de disco</color>, reduza a sorte em{playerStats.luck} para{duration} segundos."
RingOfPrometheus_N,4.65514E+16,Ring of Prometheus,Ring des Prometheus,Anneau de Prométhée,Anillo de Prometeo,普罗米修斯之环,Кольцо Прометея,プロメテウスの指輪,Anel de Prometeu
RingOfPrometheus_D,4.65515E+16,The weight of the world on a ring.   Disk gravity is increased by {basePlayerStats.nibusGravity} permanently.,Das Gewicht der Welt auf einem Ring.   Die Schwerkraft der Scheibe wird erhöht durch{basePlayerStats.nibusGravity} permanent.,Le poids du monde sur un anneau.   La gravité du disque est augmentée de{basePlayerStats.nibusGravity} en permanence.,El peso del mundo sobre un anillo.   La gravedad del disco aumenta{basePlayerStats.nibusGravity} permanentemente.,世界在一个环上的重量。   圆盘重力的增加是由{basePlayerStats.nibusGravity}永久地。,Вес мира на кольце.   Гравитация диска увеличивается на{basePlayerStats.nibusGravity} постоянно.,リングにかかる世界の重さ。   ディスクの重力は、以下のように増加します。{basePlayerStats.nibusGravity}を恒久的に使用する。,O peso do mundo em um anel.   A gravidade do disco é aumentada em{basePlayerStats.nibusGravity} permanentemente.
EdensApple_N,4.65628E+16,Eden's Apple,Edener Apfel,La pomme d'Eden,Manzana del Edén,伊甸园的苹果,Яблоко Эдема,エデンのりんご,Maçã do Éden
EdensApple_D,4.6563E+16,"Temptation beyond all measure. On disk loss, if no other active disks exist take 1 damage.","Die Versuchung ist unermesslich. Bei Verlust einer Platte, wenn keine anderen aktiven Platten vorhanden sind, 1 Schaden nehmen.","Tentation sans commune mesure. En cas de perte d'un disque, s'il n'y a pas d'autres disques actifs, subissez 1 dégât.","Tentación sin medida. Al perder un disco, si no hay otros discos activos, recibe 1 de daño.",诱惑是无法衡量的。在磁盘丢失时，如果没有其他活动的磁盘存在，则受到1次伤害。,"Искушение сверх всякой меры. При потере диска, если нет других активных дисков, наносится 1 урон.",あらゆる手段で誘惑する。ディスク喪失時、他にアクティブなディスクが存在しない場合、1ダメージを受ける。,"Tentação além de qualquer medida. Na perda do disco, se não houver outros discos ativos, sofrerá 1 de dano."
Kapala_N,4.68958E+16,Kapala,Kapala,Kapala,Kapala,卡帕拉,Капала,カパラ,Kapala
Kapala_D,4.68958E+16,A Skull cup used as a ritual implement.  Passive increase of {basePlayerStats.nimbusesDamageBoost} disk damage.,"Eine Schädelschale, die als rituelles Werkzeug verwendet wird.  Passive Erhöhung von{basePlayerStats.nimbusesDamageBoost} Bandscheibenschäden.",Une coupe de crâne utilisée comme outil rituel.  Augmentation passive de{basePlayerStats.nimbusesDamageBoost} endommagement du disque.,Copa de calavera utilizada como utensilio ritual.  Aumento pasivo de{basePlayerStats.nimbusesDamageBoost} daños en el disco.,骷髅头杯，用作祭祀工具。  被动增加{basePlayerStats.nimbusesDamageBoost}磁盘损坏。,"Чаша из черепа, используемая в качестве ритуального орудия.  Пассивное увеличение{basePlayerStats.nimbusesDamageBoost} повреждение диска.",祭具として使用されるスカルカップ。  パッシブで増加する{basePlayerStats.nimbusesDamageBoost}ディスクの損傷。,Uma taça de crânio usada como implemento ritual.  Aumento passivo de{basePlayerStats.nimbusesDamageBoost} danos ao disco.
LockOfHair_N,4.69334E+16,Lock of Hair,Haarlocke,La mèche de cheveux,Mechón de pelo,头发的锁,Локон волос,ロック・オブ・ヘア,Mechas de cabelo
LockOfHair_D,4.69335E+16,"One of the seven braids of hair that gifted unbelievable strength.  Passive increase of {basePlayerStats.nimbusesDamageBoost} disk damage, {basePlayerStats.critChance} critical chance, and {baseDamage}% damage boost.","Einer der sieben Haarsträhnen, die unglaubliche Kraft verleihen.  Passive Erhöhung der{basePlayerStats.nimbusesDamageBoost} Bandscheibenschäden,{basePlayerStats.critChance} kritische Chance, und{baseDamage}Schadenserhöhung in %.","L'une des sept tresses de cheveux qui confère une force incroyable.  Augmentation passive de{basePlayerStats.nimbusesDamageBoost} endommagement du disque,{basePlayerStats.critChance} la chance critique, et{baseDamage}Augmentation des dégâts en %.","Una de las siete trenzas de pelo que dotan de una fuerza increíble.  Aumento pasivo de{basePlayerStats.nimbusesDamageBoost} daños en el disco,{basePlayerStats.critChance} oportunidad crítica, y{baseDamage}% de aumento de daño.",七条辫子中的一条，赠予了不可思议的力量。  被动增加的{basePlayerStats.nimbusesDamageBoost}磁盘损坏、{basePlayerStats.critChance}关键的机会，以及{baseDamage}伤害提升%。,"Одна из семи косичек волос, дарующая невероятную силу.  Пассивное увеличение{basePlayerStats.nimbusesDamageBoost} повреждение диска,{basePlayerStats.critChance} критический шанс, и{baseDamage}Увеличение урона на %.",驚異的な強さを授ける7本の三つ編みの髪のうちの1本。  パッシブアップの{basePlayerStats.nimbusesDamageBoost}ディスクの損傷、{basePlayerStats.critChance}クリティカルチャンス、そして{baseDamage}ダメージが%アップする。,"Uma das sete tranças de cabelo que proporcionam uma força inacreditável.  Aumento passivo de{basePlayerStats.nimbusesDamageBoost} danos ao disco,{basePlayerStats.critChance} chance crítica, e{baseDamage}% de aumento de dano."
